ISSN,期刊名称,综合评分,h-index,CiteScore,中科院分区,5年IF
1527-0297,HIGH ALTITUDE MEDICINE & BIOLOGY,5.2,46,3.2,4区,2.80
1087-1640,MOTOR CONTROL,5.0,41,2.2,4区,1.00
1369-7072,Sports Engineering,3.9,0,2.4,4区,-
2214-6873,Asia-Pacific Journal of Sport Medicine Arthroscopy Rehabilitation and Technology,3.8,0,2.5,4区,-
1800-8755,Montenegrin Journal of Sports Science and Medicine,3.8,0,3.4,4区,-
1065-8483,Journal of Applied Biomechanics,5.1,50,2.1,4区,1.50
0022-4707,JOURNAL OF SPORTS MEDICINE AND PHYSICAL FITNESS,5.2,58,3.0,4区,1.40
0899-8493,PEDIATRIC EXERCISE SCIENCE,5.1,60,2.6,4区,1.80
1824-7490,Sport Sciences for Health,4.0,0,2.8,4区,-
2666-5069,Apunts Sports Medicine,3.8,0,2.4,4区,-
2096-6709,Journal of Science in Sport and Exercise,0.0,0,2.8,4区,-
2215-020X,Journal of Sports Analytics,3.8,0,0.0,4区,-
1080-6032,WILDERNESS & ENVIRONMENTAL MEDICINE,5.0,37,2.0,4区,1.60
1754-3371,Proceedings of the Institution of Mechanical Engineers Part P-Journal of Sports Engineering and Technology,4.9,16,4.2,4区,1.10
2300-5076,Physical Activity Review,3.7,0,2.8,4区,-
0765-1597,SCIENCE & SPORTS,4.9,20,1.7,4区,0.90
1331-1441,Kinesiology,5.1,16,1.8,4区,1.20
2300-8822,Archives of Budo Science of Martial Arts and Extreme Sports,3.4,0,0.0,4区,-
1988-5202,Journal of Human Sport and Exercise,3.7,0,1.9,4区,-
0959-3020,ISOKINETICS AND EXERCISE SCIENCE,5.2,24,1.4,4区,0.70
1060-1872,OPERATIVE TECHNIQUES IN SPORTS MEDICINE,5.0,28,1.0,4区,0.40
2336-4912,Acta Gymnica,3.7,0,2.0,4区,-
1855-7171,Science of Gymnastics Journal,3.8,0,1.2,4区,-
2255-0461,Revista Iberoamericana de Ciencias de la Actividad Fisica y el Deporte,3.7,0,0.0,4区,-
2386-4095,European Journal of Human Movement,3.9,0,1.0,4区,-
0025-7826,MEDICINA DELLO SPORT,4.8,11,1.0,4区,0.50
1659-097X,MHSalud-Revista en Ciencias del Movimiento Humano y la Salud,3.7,0,0.8,4区,-
0940-6689,PHYSIKALISCHE MEDIZIN REHABILITATIONSMEDIZIN KURORTMEDIZIN,4.8,15,1.0,4区,0.50
0932-0555,SPORTVERLETZUNG-SPORTSCHADEN,4.8,19,1.0,4区,1.00
2157-7277,International Journal of Athletic Therapy & Training,3.5,0,0.8,4区,-
2340-8812,Sport TK-Revista Euroamericana de Ciencias del Deporte,3.7,0,1.1,4区,-
1613-0863,Bewegungstherapie und Gesundheitssport,3.7,0,0.0,4区,-
1409-0724,Pensar en Movimiento-Revista de Ciencias del Ejercicio y la Salud,3.6,0,0.0,4区,-
1318-2269,Kinesiologia Slovenica,3.9,0,0.5,4区,-
2500-0209,Human Sport Medicine,3.7,0,0.6,4区,-
1981-9927,RBNE-Revista Brasileira de Nutricao Esportiva,3.2,0,0.0,4区,-
0120-677X,Educacion Fisica y Deporte,3.2,0,0.0,4区,-
1885-3137,RICYDE-Revista Internacional de Ciencias del Deporte,3.7,0,2.1,4区,-
